Inicio del Ciclo,Grabando,Grabacion finalizada,Conversion a flac,API Request,API Response,Brain Request,Brain Response,Ejecutando TTS,
,4.955209,0.419212,1.010299,2.572665,0.007368,0.002331,0.006621,2.244664,
,4.745135,0.006423,1.513369,4.120826,0.011015,0.003806,0.006406,1.961419,
,4.779338,-0.005226,1.043184,3.446136,0.013084,0.00431,0.006356,4.233703,
,4.730394,0.00665,0.618552,1.439511,0.009425,0.004576,0.003756,5.346401,
,5.191647,0.397917,1.474135,2.18696,0.013675,0.003212,0.007041,5.21924,
,4.921691,-0.124749,1.325128,2.027206,0.015371,0.009088,0.004135,3.086278,
,4.727942,0.007879,1.236243,8.350984,0.011531,0.006693,0.003858,3.71029,
,5.01281,0.010771,1.196733,2.409672,0.007516,0.004811,0.041719,2.081913,
,3.694271,0.008816,1.014067,2.711198,0.010262,0.001902,0.004995,4.447575,
,4.83366,-0.088795,1.019307,2.397479,0.012014,0.00302,0.006515,3.646837,
,5.139047,0.002473,1.195014,1.997424,0.01045,0.005809,0.005532,2.04859,
,4.733735,-0.085639,1.001705,2.960978,0.010557,0.003885,0.00377,2.088504,
,4.726591,0.016999,1.067507,2.664611,0.010202,0.001592,0.004124,2.827334,
,4.824309,0.001359,1.378201,2.352405,0.01091,0.001642,0.005186,4.819058,
,4.879171,0.005842,0.936044,2.892951,0.015571,0.00617,0.01972,3.577103,
,5.254505,0.442249,1.166184,2.493209,0.008883,0.002893,0.008723,2.321433,
,5.076555,0.001543,2.31186,3.164601,0.008071,0.003478,0.004133,5.353342,
,5.058903,0.012584,1.394373,2.81233,0.008925,0.014358,0.004968,3.730786,
,4.91931,0.008942,1.062509,3.183652,0.012178,0.002142,0.00527,2.050976,
,4.976052,0.003825,1.076297,4.865698,0.043025,0.002083,0.004973,2.036471,
,5.027292,-0.00031,0.982863,2.770753,0.012068,0.004131,0.003654,2.616085,
,4.716052,0.000429,1.123442,4.228724,0.008046,0.002802,0.004196,1.848864,
,4.926788,0.013267,1.020155,2.679236,0.032264,66.235743,0.005727,3.165491,
,4.739159,-0.083031,1.422056,3.286328,0.009457,0.016953,0.003706,1.596115,
,4.72678,0.014175,1.559107,3.11972,0.023663,1505.388388,0.003661,3.136157,
,4.744779,0.001267,1.686956,2.747798,0.007919,0.010858,0.005691,5.379984,
,5.336388,0.003762,1.027317,3.732095,0.013741,0.00297,0.005804,5.622793,
,4.620655,0.011271,1.100542,3.118025,0.009812,0.001969,0.005858,7.382284,
,4.72157,0.003173,1.596822,3.029859,0.008305,0.002026,0.016589,2.725714,
,5.565124,0.001099,1.034982,3.522575,0.010354,0.009819,0.006239,3.681301,
,4.765715,0.003157,0.528983,1.514821,0.006477,0.004377,0.004249,4.606035,
,4.741933,-0.000577,1.378739,5.531773,0.010657,0.004965,0.008632,1.611263,
